
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2018-12-20 00:00:00,-10.50,-11.90,-1.30,,-2.00,,186.70,-161.80,280.00,0.40,0.00,0.00
2018-12-20 00:01:00,-10.40,-11.80,-1.10,0.10,-1.80,,187.10,-161.40,280.00,0.40,0.00,0.00
2018-12-20 00:02:00,-10.30,-11.60,-1.10,0.20,-1.70,,186.60,-161.90,280.00,0.50,0.00,0.00
2018-12-20 00:03:00,-10.10,-11.50,-1.10,0.20,-1.70,,186.50,-162.00,280.00,0.40,0.00,0.00
2018-12-20 00:04:00,-10.30,-11.60,-1.20,0.20,-1.80,,186.00,-162.50,280.00,0.50,0.00,0.00
2018-12-20 00:05:00,-10.50,-11.80,-1.20,0.10,-1.90,,186.20,-162.20,280.00,0.50,0.00,0.00
2018-12-20 00:06:00,-10.60,-12.00,-1.00,0.20,-2.00,,185.90,-162.60,280.00,0.20,0.00,0.00
2018-12-20 00:07:00,-10.60,-12.10,-1.00,0.20,-1.80,,186.10,-162.40,280.00,0.20,0.00,0.00
2018-12-20 00:08:00,-10.60,-12.10,-1.10,0.20,-1.80,,185.90,-162.60,280.00,0.40,0.00,0.00
2018-12-20 00:09:00,-10.60,-12.10,-1.20,0.20,-1.80,,185.90,-162.60,280.00,0.20,0.00,0.00
